dataset	cell	uniq_preDedup	mapq30_preDedup	rate_preDedup	uniq_postDedup	mapq30_postDedup	rate_postDedup
smallwood	SRR1248468	3774003	2807987	74.403	3258130	2429934	74.581
smallwood	SRR1248457	4052549	2989281	73.763	3529458	2580560	73.115
smallwood	SRR1248446	16784893	13231258	78.828	9829863	7671973	78.048
smallwood	SRR1248492	6478849	4941715	76.275	5209119	3868361	74.261
smallwood	SRR1248477	6244100	4758757	76.212	4913548	3675586	74.805
smallwood	SRR1248490	7582722	5714188	75.358	6891409	5179110	75.153
smallwood	SRR1248481	4819707	3667232	76.088	3940449	2946579	74.778
smallwood	SRR1248460	5006562	3708802	74.079	4140787	3004646	72.562
smallwood	SRR1248486	5673907	4250962	74.921	4846939	3587012	74.006
smallwood	SRR1248461	4711399	3506683	74.43	3875822	2841714	73.319
smallwood	SRR1248448	7057673	5770058	81.756	5307913	4333478	81.642
smallwood	SRR1248495	5874675	4535988	77.213	4231203	3099142	73.245
smallwood	SRR1248467	3608108	2647990	73.39	2974440	2190683	73.65
smallwood	SRR1248493	5442580	4202911	77.223	4216745	3149451	74.689
smallwood	SRR1248474	295746	269841	91.241	100550	83119	82.664
smallwood	SRR1248454	3578856	3004149	83.942	2578093	2156138	83.633
smallwood	SRR1248445	12956157	10539548	81.348	7277184	5776053	79.372
smallwood	SRR1248489	3204311	2431984	75.897	2643912	1972021	74.587
smallwood	SRR1248476	90333	79052	87.512	49407	40782	82.543
smallwood	SRR1248463	4531742	3331286	73.51	3942333	2875512	72.939
smallwood	SRR1248482	6772643	5139499	75.886	5738296	4294900	74.846
scnome	SRR3729647	7824447	5766679	73.701	2646544	1806545	68.261
scnome	K562_06	15636021	11413219	72.993	3882860	2497982	64.334
scnome	K562_08	11354941	8110694	71.429	3320087	2100726	63.273
scnome	SRR3729649	10645130	8058965	75.706	3286186	2274236	69.206
scnome	K562_11	12767504	9393788	73.576	3399243	2226658	65.505
scnome	SRR3729653	10946822	8364188	76.407	3245658	2264797	69.779
scnome	K562_01	11823676	8819718	74.594	3427714	2282801	66.598
scnome	SRR3729646	5904608	4359788	73.837	2450612	1690417	68.979
scnome	K562_02	10508228	7545537	71.806	3222405	2059965	63.926
scnome	SRR3729643	8504383	6578833	77.358	4114152	3001159	72.947
scnome	K562_10	12398792	9152336	73.816	2474689	1583731	63.997
scnome	SRR3729644	4634493	3444548	74.324	1674385	1157977	69.158
scnome	SRR3729645	9300065	6969532	74.941	2578525	1761970	68.332
scnome	SRR3729651	6359867	4722463	74.254	2190341	1496882	68.34
scnome	K562_07	11405153	8360316	73.303	3386344	2235553	66.017
scnome	SRR3729650	13532726	9956025	73.57	3623822	2425933	66.944
scnome	K562_05	12212529	8832079	72.32	3538228	2295523	64.878
scnome	SRR3729652	15092659	11512392	76.278	4943567	3444929	69.685
scnome	K562_09	12877480	9292711	72.162	3754207	2412174	64.253
scnome	K562_03	10127058	7294146	72.026	3131742	2029030	64.789
scnome	SRR3729648	9887627	7321343	74.046	2887600	1954973	67.702
scnome	K562_04	12039098	8750057	72.68	3413731	2215933	64.912
scnome	SRR3729642	12670192	9550072	75.374	4137118	2858008	69.082
snmCseq3	SRR21549438	886848	661824	74.627	778292	572308	73.534
snmCseq3	SRR21549332	1694317	1243141	73.371	1494559	1084127	72.538
snmCseq3	SRR21549413	1112211	818565	73.598	983147	715463	72.773
snmCseq3	SRR21549344	1557205	1153803	74.094	1319787	962171	72.904
snmCseq3	SRR21549380	1334894	993260	74.407	1167454	857978	73.491
snmCseq3	SRR21549333	134826	96836	71.823	119553	84345	70.55
snmCseq3	SRR21549338	1937356	1383295	71.401	1596081	1118691	70.09
snmCseq3	SRR21549421	850429	646692	76.043	762879	573512	75.177
snmCseq3	SRR21549385	1334440	987910	74.032	1170244	855421	73.098
snmCseq3	SRR21549356	1057907	766892	72.491	913391	651288	71.304
snmCseq3	SRR21549420	1144845	835328	72.964	1029269	743370	72.223
snmCseq3	SRR21549399	1601561	1274360	79.57	1275226	991464	77.748
snmCseq3	SRR21549376	1504374	1122583	74.621	1258121	920069	73.13
snmCseq3	SRR21549316	2887104	2162382	74.898	2236150	1627327	72.774
snmCseq3	SRR21549393	807429	581302	71.994	659399	462228	70.098
snmCseq3	SRR21549342	1785085	1294777	72.533	1472516	1048267	71.189
snmCseq3	SRR21549391	1835672	1372340	74.76	1503906	1099315	73.097
snmCseq3	SRR21549419	1072016	814914	76.017	960578	723269	75.295
snmCseq3	SRR21549357	1702087	1273993	74.849	1409577	1034784	73.411
snmCseq3	SRR21549343	1450903	1089037	75.059	1238746	915575	73.911
snmCseq3	SRR21549340	136487	87203	63.891	114840	70732	61.592
snmCseq3	SRR21549345	1499144	1077685	71.887	1276337	903336	70.776
snmCseq3	SRR21549308	3997832	2936484	73.452	2990443	2128278	71.169
snmCseq3	SRR21549418	1059322	780160	73.647	950122	692986	72.937
snmCseq3	SRR21549431	878963	648611	73.793	779586	568316	72.9
snmCseq3	SRR21549439	908749	674434	74.216	795660	581376	73.068
snmCseq3	SRR21549427	914392	673584	73.665	811901	591392	72.84
snmCseq3	SRR21549318	1842126	1382041	75.024	1421780	1033978	72.724
snmCseq3	SRR21549310	3242903	2418913	74.591	2431504	1754128	72.142
snmCseq3	SRR21549379	1069705	796892	74.496	940274	691286	73.52
snmCseq3	SRR21549291	1269796	936018	73.714	1133046	827155	73.003
snmCseq3	SRR21549430	827352	619426	74.868	735991	544190	73.94
snmCseq3	SRR21549309	3577083	2634073	73.637	2654434	1891771	71.268
snmCseq3	SRR21549301	1833919	1356965	73.993	1485948	1074657	72.321
snmCseq3	SRR21549390	481880	268342	55.686	397450	212735	53.525
snmCseq3	SRR21549423	1020828	753238	73.787	915088	668022	73.001
snmCseq3	SRR21549409	783393	580648	74.12	696762	510528	73.272
snmCseq3	SRR21549373	1769248	1297725	73.349	1473358	1060830	72.001
snmCseq3	SRR21549402	2823203	2138160	75.735	2279331	1696804	74.443
snmCseq3	SRR21549426	186853	142337	76.176	166733	125003	74.972
snmCseq3	SRR21549395	2617631	1927841	73.648	2087574	1502504	71.974
snmCseq3	SRR21549335	1549150	1142463	73.748	1364299	994647	72.905
snmCseq3	SRR21549322	2271472	1684428	74.156	1896167	1384445	73.013
snmCseq3	SRR21549304	2284936	1697019	74.27	1847012	1343551	72.742
snmCseq3	SRR21549387	1375280	1028729	74.801	1127710	825160	73.171
snmCseq3	SRR21549360	2379461	1748972	73.503	1970301	1421214	72.132
snmCseq3	SRR21549362	1984339	1465826	73.87	1638623	1188175	72.511
snmCseq3	SRR21549411	1073290	787670	73.388	953050	691676	72.575
snmCseq3	SRR21549436	1175607	863001	73.409	1032354	747853	72.442
snmCseq3	SRR21549349	1491764	1104872	74.065	1271687	927001	72.895
snmCseq3	SRR21549327	863494	682755	79.069	742988	577104	77.673
snmCseq3	SRR21549382	1482044	1087424	73.373	1303464	944368	72.451
snmCseq3	SRR21549383	1334166	987908	74.047	1168049	854434	73.151
snmCseq3	SRR21549312	3522711	2613712	74.196	2620399	1883505	71.879
snmCseq3	SRR21549337	2080247	1544165	74.23	1716645	1252509	72.963
snmCseq3	SRR21549292	1292798	942778	72.925	1155999	834090	72.153
snmCseq3	SRR21549392	2141284	1590588	74.282	1746490	1269368	72.681
snmCseq3	SRR21549336	1386297	1020361	73.603	1218807	886797	72.759
snmCseq3	SRR21549410	1007490	745324	73.978	894316	654905	73.23
snmCseq3	SRR21549370	1472042	1074680	73.006	1263494	906075	71.712
snmCseq3	SRR21549358	2117365	1569646	74.132	1741514	1267966	72.808
snmCseq3	SRR21549388	2170579	1625867	74.905	1768562	1298613	73.428
snmCseq3	SRR21549437	1018242	752617	73.913	888552	647723	72.896
snmCseq3	SRR21549326	1792233	1337124	74.607	1537251	1131374	73.597
snmCseq3	SRR21549401	2142609	1611918	75.232	1749674	1288353	73.634
